cbsa,metro,state,population,median_household_income,median_gross_rent
32900,"Merced, CA",California,291920,65044,1284
46540,"Utica-Rome, NY",New York,287039,68827,895
42020,"San Luis Obispo-Paso Robles, CA",California,281639,93398,1899
20260,"Duluth, MN-WI",Minnesota,281603,71331,959
17780,"College Station-Bryan, TX",Texas,281445,59874,1119
35980,"Norwich-New London-Willimantic, CT",Connecticut,279634,84185,1316
46220,"Tuscaloosa, AL",Alabama,278290,60744,941
14740,"Bremerton-Silverdale-Port Orchard, WA",Washington,277658,98546,1741
16300,"Cedar Rapids, IA",Iowa,275668,76946,894
43640,"Slidell-Mandeville-Covington, LA",Louisiana,275583,79277,1305
11100,"Amarillo, TX",Texas,272395,68052,1060
21780,"Evansville, IN",Indiana,270717,70914,954
29700,"Laredo, TX",Texas,269148,62506,997
21500,"Erie, PA",Pennsylvania,267571,61476,876
31340,"Lynchburg, VA",Virginia,264590,66938,942
22020,"Fargo, ND-MN",North Dakota,262620,75689,948
28020,"Kalamazoo-Portage, MI",Michigan,262215,70525,1049
42100,"Santa Cruz-Watsonville, CA",California,261547,109266,2172
13460,"Bend, OR",Oregon,260919,85601,1558
49420,"Yakima, WA",Washington,256643,68015,1068
19300,"Daphne-Fairhope-Foley, AL",Alabama,253507,75019,1211
39150,"Prescott Valley-Prescott, AZ",Arizona,249081,66106,1258
11540,"Appleton, WI",Wisconsin,246433,83902,999
46340,"Tyler, TX",Texas,245209,71923,1197
13780,"Binghamton, NY",New York,243792,63159,914
31420,"Macon-Bibb County, GA",Georgia,236074,57743,966
16580,"Champaign-Urbana, IL",Illinois,235608,64694,1003
29340,"Lake Charles, LA",Louisiana,235314,66450,1063
25940,"Hilton Head Island-Bluffton-Port Royal, SC",South Carolina,232523,81744,1458
45820,"Topeka, KS",Kansas,232322,67742,937
13380,"Bellingham, WA",Washington,231919,80989,1465
12700,"Barnstable Town, MA",Massachusetts,231735,94452,1596
22900,"Fort Smith, AR-OK",Arkansas,231280,56337,837
40340,"Rochester, MN",Minnesota,229077,90462,1163
15540,"Burlington-South Burlington, VT",Vermont,227942,90782,1490
29200,"Lafayette-West Lafayette, IN",Indiana,226564,59834,1049
29740,"Las Cruces, NM",New Mexico,225210,55663,903
16820,"Charlottesville, VA",Virginia,225127,90850,1477
29420,"Lake Havasu City-Kingman, AZ",Arizona,223682,55799,1047
12020,"Athens-Clarke County, GA",Georgia,222060,67120,1145
33740,"Monroe, LA",Louisiana,221885,49343,886
32780,"Medford, OR",Oregon,220768,71443,1310
23580,"Gainesville, GA",Georgia,217267,77430,1247
17860,"Columbia, MO",Missouri,216511,69388,1025
37460,"Panama City-Panama City Beach, FL",Florida,216371,68121,1360
27340,"Jacksonville, NC",North Carolina,213676,64568,1198
49740,"Yuma, AZ",Arizona,213221,60417,983
27740,"Johnson City, TN",Tennessee,213198,56788,870
30500,"Lexington Park, MD",Maryland,210009,122464,1696
17020,"Chico, CA",California,207172,68574,1369
21140,"Elkhart-Goshen, IN",Indiana,206409,65617,1023
39460,"Punta Gorda, FL",Florida,206134,66154,1289
