occ_code,state,median_annual,employment
13-2072,Illinois,75250,12170
13-2072,Indiana,66080,4670
13-2072,Iowa,75940,3210
13-2072,Kansas,76920,4450
13-2072,Kentucky,64100,3900
13-2072,Louisiana,50370,2740
13-2072,Maine,72110,1260
13-2072,Maryland,71800,3940
13-2072,Massachusetts,96940,6410
13-2072,Michigan,73080,10060
13-2072,Minnesota,82330,7270
13-2072,Mississippi,49180,3070
13-2072,Missouri,64170,8450
13-2072,Montana,62410,1430
13-2072,Nebraska,75830,3200
13-2072,Nevada,55900,3450
13-2072,New Hampshire,76460,1170
13-2072,New Jersey,82560,7190
13-2072,New Mexico,63410,1250
13-2072,New York,97300,11620
13-2072,North Carolina,67240,14790
13-2072,North Dakota,86440,1420
13-2072,Ohio,63320,12340
13-2072,Oklahoma,69100,5130
13-2072,Oregon,74660,4080
13-2072,Pennsylvania,64230,8490
13-2072,Rhode Island,75050,1400
13-2072,South Carolina,61580,4000
13-2072,South Dakota,76640,2000
13-2072,Tennessee,62240,6690
13-2072,Texas,65850,28460
13-2072,Utah,59780,5400
13-2072,Vermont,79490,430
13-2072,Virginia,77070,9610
13-2072,Washington,73110,7620
13-2072,West Virginia,51920,1060
13-2072,Wisconsin,78050,5470
13-2072,Wyoming,67380,780
15-1211,Alabama,102560,5950
15-1211,Alaska,86720,430
15-1211,Arizona,100280,11860
